epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,64434,0.71168,0.58372,0.9792,0.77457,0.68553,0.75486,0.54981,1.44412,1.54434,1.48692,0.0056836,0.0056836,0.0056836
111,64849.4,0.71418,0.5876,0.97887,0.77733,0.69327,0.75476,0.55241,1.44229,1.54356,1.48555,0.005644,0.005644,0.005644
112,65266.2,0.71641,0.58537,0.97883,0.77394,0.69275,0.75414,0.55253,1.4403,1.5447,1.48443,0.0056044,0.0056044,0.0056044
113,65683.8,0.70716,0.5823,0.97769,0.77013,0.69558,0.75341,0.55604,1.43796,1.54199,1.4831,0.0055648,0.0055648,0.0055648
114,66102.8,0.70591,0.58867,0.97377,0.78025,0.69446,0.75424,0.5563,1.43636,1.54127,1.48226,0.0055252,0.0055252,0.0055252
115,66519.4,0.70474,0.58069,0.97085,0.77557,0.68865,0.75422,0.55701,1.4368,1.54421,1.48243,0.0054856,0.0054856,0.0054856
116,66936.9,0.70703,0.58409,0.97448,0.77873,0.68844,0.75417,0.55795,1.43226,1.53906,1.47958,0.005446,0.005446,0.005446
117,67350,0.69475,0.57097,0.96709,0.77212,0.69279,0.75395,0.55834,1.43045,1.53792,1.47825,0.0054064,0.0054064,0.0054064
118,67763.7,0.69401,0.57268,0.96974,0.77114,0.69088,0.75324,0.55812,1.42801,1.53465,1.47706,0.0053668,0.0053668,0.0053668
119,68179.8,0.69577,0.5744,0.9648,0.77314,0.69362,0.75406,0.55873,1.42609,1.53695,1.47612,0.0053272,0.0053272,0.0053272
120,68599.1,0.69538,0.57884,0.96934,0.77339,0.6981,0.75379,0.55786,1.42304,1.53226,1.47486,0.0052876,0.0052876,0.0052876
121,69018.3,0.69035,0.55808,0.96764,0.77148,0.6979,0.75262,0.55787,1.42137,1.52906,1.47369,0.005248,0.005248,0.005248
122,69437.1,0.67811,0.55928,0.96101,0.77907,0.68626,0.75274,0.56011,1.42096,1.52979,1.47348,0.0052084,0.0052084,0.0052084
